id,country,vendor_inco_term,shipment_mode,scheduled_delivery_date,delivered_to_client_date,vendor,line_item_quantity,line_item_value,weight_kgs,freight_cost_usd,line_item_insurance_usd
12648,CÙte d'Ivoire,N/A - From RDC,N/A,30-Apr-07,30-Apr-07,SCMS from RDC,8148,132405,743,2660,
12649,CÙte d'Ivoire,N/A - From RDC,N/A,30-Apr-07,30-Apr-07,SCMS from RDC,9000,67500,974,3166,
12654,Tanzania,N/A - From RDC,Air,06-Jul-07,06-Jul-07,SCMS from RDC,1539,30780,,,
12656,CÙte d'Ivoire,N/A - From RDC,N/A,15-Jun-07,15-Jun-07,SCMS from RDC,460,37453.2,,,
12658,Mozambique,N/A - From RDC,Air,20-Jun-07,20-Jun-07,SCMS from RDC,62000,458800,5778,20299,734.08
12659,CÙte d'Ivoire,N/A - From RDC,N/A,18-May-07,18-May-07,SCMS from RDC,160,12160,173,1754,
12661,CÙte d'Ivoire,N/A - From RDC,N/A,21-Jun-07,21-Jun-07,SCMS from RDC,35074,374590.32,3116,1478,
12662,CÙte d'Ivoire,N/A - From RDC,N/A,08-Jun-07,08-Jun-07,SCMS from RDC,621,10557,40,1388,
12663,Tanzania,N/A - From RDC,Air,13-Jul-07,13-Jul-07,SCMS from RDC,2000,278000,1415,4458,444.8
12664,Tanzania,N/A - From RDC,Air,13-Aug-07,13-Aug-07,SCMS from RDC,3149,51202.74,,,81.92
12665,Rwanda,N/A - From RDC,Air,26-Jul-07,26-Jul-07,SCMS from RDC,50,2055,50,661.06,3.29
12666,CÙte d'Ivoire,N/A - From RDC,N/A,03-Aug-07,03-Aug-07,SCMS from RDC,3090,127122.6,650,2457,203.4
12667,CÙte d'Ivoire,N/A - From RDC,N/A,14-Aug-07,14-Aug-07,SCMS from RDC,5076,20050.2,,,32.08
12669,CÙte d'Ivoire,N/A - From RDC,N/A,10-Jul-07,10-Jul-07,SCMS from RDC,2,477.3,6,1356,0.76
12670,CÙte d'Ivoire,N/A - From RDC,Air,21-Aug-07,21-Aug-07,SCMS from RDC,3200,114560,,,183.3
12671,CÙte d'Ivoire,N/A - From RDC,N/A,03-Aug-07,03-Aug-07,SCMS from RDC,22047,67022.88,1057,3348,107.24
12672,Rwanda,N/A - From RDC,Air,02-Aug-07,02-Aug-07,SCMS from RDC,2034,33561,768,4465.1,53.7
12673,Mozambique,N/A - From RDC,Air,10-Oct-07,10-Oct-07,SCMS from RDC,1020,21930,,,35.09
12675,CÙte d'Ivoire,N/A - From RDC,N/A,18-Jul-07,18-Jul-07,SCMS from RDC,36,2831.04,,,4.53
12676,CÙte d'Ivoire,N/A - From RDC,N/A,18-Jul-07,18-Jul-07,SCMS from RDC,167,3340,67,1439,5.34
12680,Namibia,N/A - From RDC,N/A,07-Sep-07,07-Sep-07,SCMS from RDC,300,24000,,,38.4
12682,Tanzania,N/A - From RDC,N/A,10-Sep-07,10-Sep-07,SCMS from RDC,8000,130080,,,208.13
12683,Tanzania,N/A - From RDC,N/A,10-Sep-07,10-Sep-07,SCMS from RDC,4155,170770.5,,,273.23
12684,Tanzania,N/A - From RDC,N/A,10-Sep-07,10-Sep-07,SCMS from RDC,147,6041.7,,,9.67
12685,Mozambique,N/A - From RDC,Air,21-Sep-07,21-Sep-07,SCMS from RDC,2933,49127.75,,,78.6
12686,Mozambique,N/A - From RDC,Air,21-Sep-07,21-Sep-07,SCMS from RDC,59,1241.95,,,1.99
12688,CÙte d'Ivoire,N/A - From RDC,N/A,30-Aug-07,30-Aug-07,SCMS from RDC,6000,165180,,,264.29
12690,Zimbabwe,N/A - From RDC,Truck,18-Sep-07,18-Sep-07,SCMS from RDC,1560,14820,90,1106,23.71
12691,Zimbabwe,N/A - From RDC,Truck,18-Sep-07,18-Sep-07,SCMS from RDC,1600,3200,,,5.12
12694,Uganda,N/A - From RDC,N/A,16-Oct-07,16-Oct-07,SCMS from RDC,1350,12825,80,739,20.52
12710,CÙte d'Ivoire,N/A - From RDC,N/A,14-Sep-07,14-Sep-07,SCMS from RDC,1500,24750,,,39.6
12711,Ethiopia,N/A - From RDC,N/A,04-Sep-07,04-Sep-07,SCMS from RDC,10336,64083.2,,,102.53
12712,Ethiopia,N/A - From RDC,N/A,04-Sep-07,04-Sep-07,SCMS from RDC,12512,77574.4,,,124.12
12714,Zambia,N/A - From RDC,N/A,31-Aug-07,31-Aug-07,SCMS from RDC,4078,167605.8,885,4119.6,268.17
12715,CÙte d'Ivoire,N/A - From RDC,N/A,12-Sep-07,12-Sep-07,SCMS from RDC,7,550.48,,,0.88
12716,Zambia,N/A - From RDC,N/A,12-Nov-07,12-Nov-07,SCMS from RDC,10996,68175.2,3967,13094.92,109.08
12718,Haiti,N/A - From RDC,N/A,06-Oct-07,06-Oct-07,SCMS from RDC,600,43200,137,1732.74,69.12
12723,Zambia,N/A - From RDC,N/A,17-Oct-07,17-Oct-07,SCMS from RDC,872,8.72,,,0.01
12724,Nigeria,N/A - From RDC,Air,20-Sep-07,20-Sep-07,SCMS from RDC,1622,10056.4,,,16.09
12729,Mozambique,N/A - From RDC,Air,29-Nov-07,29-Nov-07,SCMS from RDC,37300,463266,,,741.23
12734,CÙte d'Ivoire,N/A - From RDC,Air,13-Nov-07,13-Nov-07,SCMS from RDC,6,48.9,,,0.08
12735,Zimbabwe,N/A - From RDC,Air,16-Nov-07,16-Nov-07,SCMS from RDC,22,162.8,,,0.26
12736,CÙte d'Ivoire,N/A - From RDC,Air,19-Feb-08,19-Feb-08,SCMS from RDC,44000,88000,,,140.8
12737,CÙte d'Ivoire,N/A - From RDC,Air,06-Mar-08,19-Feb-08,SCMS from RDC,44400,328560,,,525.7
12738,Guyana,N/A - From RDC,Air,07-Nov-07,07-Nov-07,SCMS from RDC,986,81049.2,,,129.68
12739,CÙte d'Ivoire,N/A - From RDC,Air,22-Nov-07,22-Nov-07,SCMS from RDC,96,2400,,,3.84
12740,Zambia,N/A - From RDC,N/A,21-Nov-07,21-Nov-07,SCMS from RDC,18974,140407.6,1928,7194.3,224.65
12741,Haiti,N/A - From RDC,Air,05-Dec-07,05-Dec-07,SCMS from RDC,500,8000,,,12.8
12742,Haiti,N/A - From RDC,Air,05-Dec-07,05-Dec-07,SCMS from RDC,480,2635.2,,,4.22
12748,CÙte d'Ivoire,N/A - From RDC,Air,30-Nov-07,30-Nov-07,SCMS from RDC,488,34160,,,54.66
12749,CÙte d'Ivoire,N/A - From RDC,Air,18-Dec-07,18-Dec-07,SCMS from RDC,403,16563.3,88,1603.44,26.5
12751,Nigeria,N/A - From RDC,Air,03-Dec-07,03-Dec-07,SCMS from RDC,645,2134.95,,,3.42
12752,Nigeria,N/A - From RDC,Air,03-Dec-07,03-Dec-07,SCMS from RDC,1542,11565,,,18.5
12753,Mozambique,N/A - From RDC,Air,08-Feb-08,08-Feb-08,SCMS from RDC,210,8055.6,63,740.16,12.89
12754,CÙte d'Ivoire,N/A - From RDC,Air,14-Dec-07,14-Dec-07,SCMS from RDC,40000,296000,4026,13325,473.6
12755,Nigeria,N/A - From RDC,Air,09-Jan-08,09-Jan-08,SCMS from RDC,375,28500,411,3147,45.6
12756,Nigeria,N/A - From RDC,Air,09-Jan-08,09-Jan-08,SCMS from RDC,125,1018.75,,,1.63
12759,Ethiopia,N/A - From RDC,Air,20-Dec-07,20-Dec-07,SCMS from RDC,9691,92064.5,899,6483,147.3
12760,Mozambique,N/A - From RDC,Air,08-Apr-08,05-Apr-08,SCMS from RDC,2067,144690,,,231.5
12761,Uganda,N/A - From RDC,N/A,11-Mar-08,11-Mar-08,SCMS from RDC,1860,13764,192,1617.52,22.02
12762,Zimbabwe,N/A - From RDC,Air,14-Jan-08,14-Jan-08,SCMS from RDC,1600,3200,,,5.12
12763,Haiti,N/A - From RDC,Air,08-Mar-08,08-Mar-08,SCMS from RDC,3000,24450,,,39.12
12764,Mozambique,N/A - From RDC,Air,08-Apr-08,05-Apr-08,SCMS from RDC,12663,157274.46,,,251.64
12766,Haiti,N/A - From RDC,Air,04-Mar-08,21-Feb-08,SCMS from RDC,32129,97672.16,,,156.28
12770,Ethiopia,N/A - From RDC,Air,20-Dec-07,09-Jan-08,SCMS from RDC,29500,89680,1640,11273,143.49
12771,Uganda,N/A - From RDC,Air,15-Feb-08,15-Feb-08,SCMS from RDC,6500,48100,667,3609.2,76.96
12772,CÙte d'Ivoire,N/A - From RDC,Air,05-Feb-08,05-Feb-08,SCMS from RDC,5836,160665.08,,,257.06
12773,CÙte d'Ivoire,N/A - From RDC,Air,01-Feb-08,01-Feb-08,SCMS from RDC,2326,3535.52,232,1704.79,5.66
12774,Uganda,N/A - From RDC,N/A,28-Feb-08,28-Feb-08,SCMS from RDC,328,1115.2,,,1.78
12776,Zimbabwe,N/A - From RDC,Air,21-Apr-08,21-Apr-08,SCMS from RDC,1860,23101.2,,,36.96
12777,Haiti,N/A - From RDC,Air,04-Jul-08,04-Jul-08,SCMS from RDC,14995,141702.75,1586,17289,226.72
12778,Nigeria,N/A - From RDC,Air,18-Apr-08,18-Apr-08,SCMS from RDC,16,420,,,0.67
12779,CÙte d'Ivoire,N/A - From RDC,Air,14-May-08,14-May-08,SCMS from RDC,3847,28467.8,408,1514.68,45.55
12780,Nigeria,N/A - From RDC,Air,14-May-08,14-May-08,SCMS from RDC,16610,220580.8,,,352.93
12781,Tanzania,N/A - From RDC,Truck,30-Jun-08,30-Jun-08,SCMS from RDC,8805,25622.55,,,41
12782,Tanzania,N/A - From RDC,Truck,30-Jun-08,30-Jun-08,SCMS from RDC,87768,298411.2,,,477.46
12783,CÙte d'Ivoire,N/A - From RDC,Air,02-Jun-08,02-Jun-08,SCMS from RDC,5536,10629.12,,,17.01
12784,Mozambique,N/A - From RDC,Truck,18-Jul-08,18-Jul-08,SCMS from RDC,1358,13023.22,387,2107.14,20.84
12785,Zambia,N/A - From RDC,Truck,29-Jul-08,29-Jul-08,SCMS from RDC,9474,89529.3,,,143.25
12786,Tanzania,N/A - From RDC,Air,21-Aug-08,21-Aug-08,SCMS from RDC,40000,296000,4289,24594.29,473.6
12788,Haiti,N/A - From RDC,Air,02-Jun-08,02-Jun-08,SCMS from RDC,224,3696,,,5.91
12789,Ethiopia,N/A - From RDC,N/A,27-Mar-08,27-Mar-08,SCMS from RDC,78460,119259.2,5184,17910,190.81
12790,Haiti,N/A - From RDC,Air,29-May-08,29-May-08,SCMS from RDC,270,7433.1,862,9711.2,11.89
12791,Haiti,N/A - From RDC,Air,29-May-08,29-May-08,SCMS from RDC,2415,4757.55,,,7.61
12792,Zimbabwe,N/A - From RDC,Air,09-Jun-08,09-Jun-08,SCMS from RDC,1860,23101.2,,,36.96
12793,Cameroon,N/A - From RDC,Air,20-Aug-08,20-Aug-08,SCMS from RDC,2000,64000,643,7805.33,102.4
12794,Zimbabwe,N/A - From RDC,Truck,26-Jul-08,26-Jul-08,SCMS from RDC,4342,86840,,,138.94
12795,Haiti,N/A - From RDC,Air,03-Apr-08,03-Apr-08,SCMS from RDC,15,1080,,,1.73
12796,Zambia,N/A - From RDC,Air,19-Jun-08,19-Jun-08,SCMS from RDC,81198,162396,4678,30610.2,259.83
12797,Haiti,N/A - From RDC,Air,21-Mar-08,21-Mar-08,SCMS from RDC,128,2112,,,3.38
12798,Nigeria,N/A - From RDC,Air,30-Jun-08,30-Jun-08,SCMS from RDC,48,816,4,213.75,1.31
12800,Mozambique,N/A - From RDC,Air,23-Jun-08,23-Jun-08,SCMS from RDC,2500,31050,,,49.68
12801,Mozambique,N/A - From RDC,Air,23-Jun-08,23-Jun-08,SCMS from RDC,1728,16416,,,26.27
12803,Zimbabwe,N/A - From RDC,Truck,07-Mar-08,07-Mar-08,SCMS from RDC,3180,25917,182,1593.48,41.47
12805,Kenya,N/A - From RDC,Truck,31-Mar-08,31-Mar-08,SCMS from RDC,2000,20,,,0.03
12806,Mozambique,N/A - From RDC,Air,21-Apr-08,21-Apr-08,SCMS from RDC,3000,10200,168,1074.95,16.32
12808,Uganda,N/A - From RDC,Air,17-Apr-08,17-Apr-08,SCMS from RDC,127,243.84,46,740.34,0.39
12809,Ethiopia,N/A - From RDC,Air,01-Feb-08,06-Mar-08,SCMS from RDC,30874,93856.96,1822,9742,150.17
12810,Zimbabwe,N/A - From RDC,Air,17-Jun-08,17-Jun-08,SCMS from RDC,550,5.5,,,0.01
12811,Zimbabwe,N/A - From RDC,Truck,17-Jun-08,17-Jun-08,SCMS from RDC,1800,129582,,,207.33
12812,Uganda,N/A - From RDC,Air,21-Aug-08,21-Aug-08,SCMS from RDC,1400,18900,156,1282.6,30.24
12813,Zambia,N/A - From RDC,Truck,07-Nov-08,07-Nov-08,SCMS from RDC,35000,420350,2641,2938.92,823.89
12814,Zambia,N/A - From RDC,Truck,07-Nov-08,07-Nov-08,SCMS from RDC,50000,472500,4585,2938.92,926.1
12817,CÙte d'Ivoire,N/A - From RDC,Air,19-Jan-09,19-Jan-09,SCMS from RDC,4100,13120,,,25.72
12818,Kenya,N/A - From RDC,Truck,16-Oct-08,16-Oct-08,SCMS from RDC,19999,399980,6074,1250,783.96
12819,Tanzania,N/A - From RDC,Truck,22-Aug-08,22-Aug-08,SCMS from RDC,32544,94703.04,1608,1700.32,151.52
12820,Haiti,N/A - From RDC,Air,11-Aug-08,11-Aug-08,SCMS from RDC,1500,2100,235,3022.74,3.36
12821,Haiti,N/A - From RDC,Air,11-Aug-08,11-Aug-08,SCMS from RDC,1500,3360,,,5.38
12822,Nigeria,N/A - From RDC,Air,17-Nov-08,17-Nov-08,SCMS from RDC,2,76.72,,,0.15
12823,Nigeria,N/A - From RDC,Air,20-Nov-08,20-Nov-08,SCMS from RDC,1152,4492.8,85,1266.05,8.81
12824,Nigeria,N/A - From RDC,Air,31-Aug-08,31-Aug-08,SCMS from RDC,4,105,,,0.17
12825,Nigeria,N/A - From RDC,Air,16-Sep-08,16-Sep-08,SCMS from RDC,784,3057.6,58,1102.98,4.89
12826,Pakistan,N/A - From RDC,Air,17-Nov-08,17-Nov-08,SCMS from RDC,12,0.12,,,0
12827,Nigeria,N/A - From RDC,Air,26-Sep-08,26-Sep-08,SCMS from RDC,94,3863.4,27,1058,6.18
12828,Kenya,N/A - From RDC,Truck,25-Sep-08,25-Sep-08,SCMS from RDC,20000,400000,6067,1250,640
12829,Zambia,N/A - From RDC,Truck,23-Sep-08,23-Sep-08,SCMS from RDC,50000,472500,,,756
12830,Kenya,N/A - From RDC,Air,15-Jan-09,15-Jan-09,SCMS from RDC,3770,37.7,,,0.07
12835,Tanzania,N/A - From RDC,N/A,15-Sep-08,15-Sep-08,SCMS from RDC,5730,157746.9,,,252.4
12836,Mozambique,N/A - From RDC,Air,21-Feb-09,21-Feb-09,SCMS from RDC,252,12600,,,24.7
12837,Zimbabwe,N/A - From RDC,Truck,16-Feb-09,16-Feb-09,SCMS from RDC,4000,48040,,,94.16
12838,Mozambique,N/A - From RDC,Air,05-Sep-08,05-Sep-08,SCMS from RDC,11980,46722,,,74.76
12839,Ethiopia,N/A - From RDC,Truck,16-Sep-08,16-Sep-08,SCMS from RDC,14,537.04,25,505,0.86
12840,Ethiopia,N/A - From RDC,Truck,16-Sep-08,16-Sep-08,SCMS from RDC,50,2500,,,4
12841,Ethiopia,N/A - From RDC,Air,19-Dec-08,19-Dec-08,SCMS from RDC,2005,3809.5,692,4983.22,7.47
12842,Uganda,N/A - From RDC,Air,19-Feb-09,19-Feb-09,SCMS from RDC,14600,172280,1657,9995.55,337.67
12843,CÙte d'Ivoire,N/A - From RDC,Air,27-Feb-09,27-Feb-09,SCMS from RDC,2800,5880,,,11.52
12844,Zimbabwe,N/A - From RDC,Truck,06-Apr-09,06-Apr-09,SCMS from RDC,4000,48040,,,94.16
12845,Pakistan,N/A - From RDC,Air,01-Apr-09,01-Apr-09,SCMS from RDC,28,2800,,,5.49
12846,Pakistan,N/A - From RDC,Air,01-Apr-09,01-Apr-09,SCMS from RDC,12,240,,,0.47
12849,Zimbabwe,N/A - From RDC,Truck,06-Apr-09,06-Apr-09,SCMS from RDC,8000,16000,,,31.36
12850,CÙte d'Ivoire,N/A - From RDC,Air,30-Apr-09,30-Apr-09,SCMS from RDC,9599,28797,,,56.44
12851,CÙte d'Ivoire,N/A - From RDC,Air,30-Apr-09,30-Apr-09,SCMS from RDC,2200,29216,,,57.26
12852,Zambia,N/A - From RDC,Air,23-Sep-08,23-Sep-08,SCMS from RDC,9408,31987.2,893,6269.7,51.18
12853,Nigeria,N/A - From RDC,Air,24-Aug-08,24-Aug-08,SCMS from RDC,12696,333270,1114,7641.1,533.23
12854,Zambia,N/A - From RDC,Truck,20-Aug-08,20-Aug-08,SCMS from RDC,50000,600500,,,960.8
12857,Tanzania,N/A - From RDC,Air,22-Aug-08,22-Aug-08,SCMS from RDC,76427,722235.15,7017,5367.09,1155.58
12858,Ethiopia,N/A - From RDC,Air,18-Feb-09,18-Feb-09,SCMS from RDC,27590,293005.8,,,574.29
12859,Ethiopia,N/A - From RDC,Air,29-Jan-09,29-Jan-09,SCMS from RDC,11549,122650.38,,,240.39
12860,Ethiopia,N/A - From RDC,Air,04-Mar-09,04-Mar-09,SCMS from RDC,35299,374875.38,,,734.76
12862,Nigeria,N/A - From RDC,Air,30-Oct-08,30-Oct-08,SCMS from RDC,6002,20406.8,,,40
12863,Nigeria,N/A - From RDC,Air,17-Dec-08,17-Dec-08,SCMS from RDC,7876,12207.8,521,4608.92,23.93
12864,Nigeria,N/A - From RDC,Air Charter,19-Mar-09,19-Mar-09,SCMS from RDC,16000,155520,1364,,304.82
12865,Nigeria,N/A - From RDC,Air Charter,19-Mar-09,19-Mar-09,SCMS from RDC,3231,28303.56,,,55.47
12866,Nigeria,N/A - From RDC,Air Charter,19-Mar-09,19-Mar-09,SCMS from RDC,67842,773398.8,7627,11492.86,1515.86
12868,CÙte d'Ivoire,N/A - From RDC,Air,29-Apr-09,29-Apr-09,SCMS from RDC,28624,267634.4,2583,7608.7,524.56
12869,Zimbabwe,N/A - From RDC,Truck,31-Oct-08,31-Oct-08,SCMS from RDC,8000,16000,483,2947.59,31.36
12870,Kenya,N/A - From RDC,Truck,20-Aug-08,20-Aug-08,SCMS from RDC,1067,34144,297,3616.67,54.63
12871,CÙte d'Ivoire,N/A - From RDC,Air,20-Mar-09,20-Mar-09,SCMS from RDC,10000,30400,,,59.58
12873,Nigeria,N/A - From RDC,Air Charter,08-May-09,08-May-09,SCMS from RDC,1132,17274.32,,,33.86
12874,Zimbabwe,N/A - From RDC,Truck,27-Apr-09,27-Apr-09,SCMS from RDC,76000,562400,,,1102.3
12875,Mozambique,N/A - From RDC,Truck,03-Jun-09,03-Jun-09,SCMS from RDC,135000,972000,10053,10211.52,1905.12
12876,Tanzania,N/A - From RDC,Truck,11-May-09,11-May-09,SCMS from RDC,1977,31928.55,,,62.58
12877,Nigeria,N/A - From RDC,Air,30-Apr-09,30-Apr-09,SCMS from RDC,248,793.6,24,1547.94,1.56
12878,Nigeria,N/A - From RDC,Air,30-Apr-09,30-Apr-09,SCMS from RDC,1067,3414.4,60,1981.1,6.69
12879,Nigeria,N/A - From RDC,Air Charter,08-May-09,08-May-09,SCMS from RDC,35000,327250,3162,15128.37,641.41
12883,Ghana,N/A - From RDC,Truck,12-Aug-09,12-Aug-09,SCMS from RDC,8346,83.46,,,0.16
12885,Nigeria,N/A - From RDC,Air Charter,16-Jun-09,16-Jun-09,SCMS from RDC,2178,23522.4,,,46.1
12886,Nigeria,N/A - From RDC,Air Charter,16-Jun-09,16-Jun-09,SCMS from RDC,806,1531.4,,,3
12887,Uganda,N/A - From RDC,Air,01-Jun-09,01-Jun-09,SCMS from RDC,3895,27732.4,289,2798.7,54.36
12892,Nigeria,N/A - From RDC,Air Charter,16-Jun-09,16-Jun-09,SCMS from RDC,400,20000,89,7329.83,39.2
12893,Nigeria,N/A - From RDC,Air Charter,16-Jun-09,16-Jun-09,SCMS from RDC,3190,36366,361,7329.83,71.28
12894,Nigeria,N/A - From RDC,Air Charter,16-Jun-09,16-Jun-09,SCMS from RDC,400,20000,,,39.2
12896,Mozambique,N/A - From RDC,Air,20-Aug-09,20-Aug-09,SCMS from RDC,9310,29792,376,2342.92,58.39
12897,Zambia,N/A - From RDC,Air,04-Sep-09,04-Sep-09,SCMS from RDC,22260,244860,1921,2448.71,479.93
12898,Mozambique,N/A - From RDC,Truck,27-Aug-09,27-Aug-09,SCMS from RDC,1894,4621.36,,,9.06
12899,Nigeria,N/A - From RDC,Air Charter,04-Aug-09,04-Aug-09,SCMS from RDC,1268,14455.2,143,7445.8,28.33
12900,Zambia,N/A - From RDC,Truck,29-Sep-09,29-Sep-09,SCMS from RDC,27941,307351,1970,6759.28,602.41
12902,Haiti,N/A - From RDC,Air,27-Aug-09,27-Aug-09,SCMS from RDC,2757,5789.7,1038,11774.5,11.35
12903,Haiti,N/A - From RDC,Air,31-Jul-09,31-Jul-09,SCMS from RDC,1260,6300,,,12.35
12904,Haiti,N/A - From RDC,Air,31-Jul-09,31-Jul-09,SCMS from RDC,108,189,,,0.37
12905,CÙte d'Ivoire,N/A - From RDC,Air,21-Aug-09,21-Aug-09,SCMS from RDC,18180,206343,2047,6739.08,404.43
12908,Uganda,N/A - From RDC,Air,24-Aug-09,24-Aug-09,SCMS from RDC,2237,5458.28,,,10.7
12909,Uganda,N/A - From RDC,Ocean,15-Sep-09,15-Sep-09,SCMS from RDC,8784,99698.4,1118,7338.54,195.41
12910,Zambia,N/A - From RDC,Truck,19-Oct-09,19-Oct-09,SCMS from RDC,45964,367712,,,720.72
12911,CÙte d'Ivoire,N/A - From RDC,Air,16-Sep-09,16-Sep-09,SCMS from RDC,3181,6043.9,,,11.85
12912,Uganda,N/A - From RDC,Air,07-Oct-09,07-Oct-09,SCMS from RDC,29426,201568.1,2529,4031.3,395.07
12913,CÙte d'Ivoire,N/A - From RDC,Air,25-Sep-09,25-Sep-09,SCMS from RDC,5830,14225.2,,,27.88
12914,Nigeria,N/A - From RDC,Air Charter,20-Oct-09,20-Oct-09,SCMS from RDC,17000,193800,1914,9341.49,379.85
12915,Nigeria,N/A - From RDC,Air Charter,20-Oct-09,20-Oct-09,SCMS from RDC,3001,34211.4,338,9341.49,67.05
12916,Nigeria,N/A - From RDC,Air Charter,20-Oct-09,20-Oct-09,SCMS from RDC,240,2820,22,9341.49,5.53
12917,Nigeria,N/A - From RDC,Air Charter,20-Oct-09,20-Oct-09,SCMS from RDC,25281,288203.4,2847,9341.49,564.88
12918,Nigeria,N/A - From RDC,Air Charter,20-Oct-09,20-Oct-09,SCMS from RDC,16912,192796.8,1905,9341.49,377.88
12919,Zambia,N/A - From RDC,Truck,13-Oct-09,13-Oct-09,SCMS from RDC,22059,137206.98,,,268.93
12920,Mozambique,N/A - From RDC,Truck,17-Sep-09,17-Sep-09,SCMS from RDC,1604,11420.48,120,1799.88,22.38
12922,Ghana,N/A - From RDC,Truck,30-Sep-09,12-Aug-09,SCMS from RDC,276,2.76,,,0.01
12923,Ghana,N/A - From RDC,Truck,30-Sep-09,12-Aug-09,SCMS from RDC,896,8.96,,,0.02
12925,Haiti,N/A - From RDC,Air,22-Oct-09,22-Oct-09,SCMS from RDC,4410,6438.6,286,3842.22,13.88
12926,Ethiopia,N/A - From RDC,Air,27-Oct-09,27-Oct-09,SCMS from RDC,12873,37331.7,1258,6027.68,80.49
12929,Kenya,EXW,Air,16-Feb-10,19-Feb-10,"Orgenics, Ltd",1,80,1028,10083.69,0.17
12935,Vietnam,EXW,Air,09-Jan-14,09-Jan-14,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),11092,74871,957,1869.41,92.62
12959,Zambia,EXW,Air,12-May-15,12-May-15,"Orgenics, Ltd",6280,502400,2548,28709.52,516.47
12973,Haiti,EXW,Air,12-Jun-12,12-Jun-12,CIPLA LIMITED,298,685.4,21,304.62,0.96
12981,South Sudan,EXW,Air,16-Aug-13,16-Aug-13,"Orgenics, Ltd",90,8010,39,1434.98,9.91
13004,Mozambique,FCA,Air,15-Apr-15,15-Apr-15,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),400,2740,62,642.99,3.22
13007,Burundi,EXW,Air,10-Jun-13,10-Jun-13,"Orgenics, Ltd",1468,117440,638,12922.07,145.27
13016,Burundi,EXW,Air,01-Jun-12,01-Jun-12,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",305,7777.5,34,836.8,10.9
13020,Haiti,EXW,Air,30-Jan-12,30-Jan-12,Premier Medical Corporation Ltd.,3,49.5,1,969.55,0.07
13027,Vietnam,EXW,Air,29-Jul-14,29-Jul-14,HETERO LABS LIMITED,5300,18550,2922,5616.02,19.07
13038,South Africa,DDP,Ocean,14-Sep-11,27-Oct-11,Aurobindo Pharma Limited,54768,133633.92,3237,10923.46,220.5
13064,South Africa,DDP,Truck,12-May-15,12-May-15,PHARMACY DIRECT,25,1246.3,,,1.28
13091,South Africa,DDP,Truck,19-Feb-15,19-Feb-15,PHARMACY DIRECT,3,206.97,,,0.21
13093,Vietnam,EXW,Air,11-Oct-13,09-Oct-13,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),11500,132135,1295,2021.05,163.45
13106,Vietnam,EXW,Air,16-Sep-14,16-Sep-14,HETERO LABS LIMITED,16000,56800,1948,3138.25,58.39
13115,South Africa,DDP,Truck,27-Aug-14,27-Aug-14,S. BUYS WHOLESALER,13,438.41,,,0.54
13138,Nigeria,EXW,Air,09-Jan-13,10-Jan-13,"Orgenics, Ltd",2744,244216,1186,25193.28,342.39
13148,Dominican Republic,DDP,Air,14-Jan-14,14-Jan-14,"ABBVIE, SRL (FORMALLY ABBOTT LABORATORIES INTERNATIONAL CO.)",4570,148250.8,,,152.4
13151,Mozambique,EXW,Air,12-Dec-11,30-Nov-11,"Orgenics, Ltd",1,77.7,,,0.13
13161,South Africa,DDP,Air,24-Aug-10,24-Aug-10,Aurobindo Pharma Limited,56877,265615.59,4815,5886.9,572.67
13205,CÙte d'Ivoire,EXW,Air,15-Sep-09,15-Sep-09,"Orgenics, Ltd",3500,245000,893,12858.12,480.2
13231,South Africa,DDP,Truck,27-Aug-14,27-Aug-14,S. BUYS WHOLESALER,14,389.56,,,0.48
13275,Vietnam,EXW,Air,13-Jul-15,13-Jul-15,HETERO LABS LIMITED,17760,177600,2516,3816.3,209.04
13277,Vietnam,EXW,Air,26-Oct-09,26-Oct-09,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1680,13860,110,791.43,27.17
13302,Rwanda,CIP,Air,02-Nov-10,02-Nov-10,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),138422,1211192.5,13147,4781.8,2611.33
13311,CÙte d'Ivoire,EXW,Air,29-Mar-12,29-Mar-12,"Orgenics, Ltd",2000,160000,957,18919.56,224.32
13379,Malawi,EXW,Ocean,21-Jun-13,21-Jun-13,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),243800,2801262,27549,24875.46,3465.16
13476,Mozambique,CIP,Air,19-Mar-10,19-Mar-10,INTERNATIONAL HEALTHCARE DISTRIBUTORS,520,5366.4,149,,10.52
13481,South Africa,DDP,Truck,26-Jan-15,26-Jan-15,PHARMACY DIRECT,132,1823.8,,,1.87
13487,Haiti,EXW,Ocean,13-Mar-15,13-Mar-15,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),25000,256000,3034,7658.27,263.17
13544,CÙte d'Ivoire,FCA,Air,03-Nov-14,03-Nov-14,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),500,15410,505,6523.85,15.84
13547,"Congo, DRC",EXW,Air,04-Nov-14,04-Nov-14,"Trinity Biotech, Plc",77,2464,509,8021.11,2.53
